,Function,Original Comment,Predicted comment
0,public object get attribute string key object value attributes get key if get log is trace enabled get log trace sm get string abstract protocol handler get attribute key value return value ,used by sub components to retrieve configuration information , returns the value of the specified key as a string
1,public string get jade port return jade port ,gets the jade main container host port , gets the server
2,public string dcmi format formatted if dcmi format formatted string null dcmi format formatted string format dictionary dcmi format return dcmi format formatted string ,this is a convenience method that returns a formatted value corresponding , this is a convenience method that returns a formatted value corresponding
3,protected void set value t node object new value ,default convenience implementation does nothing , sets the value attribute of the scan2 object
4,public void test get content as domtext throws exception system out println test get content as domtext add your test code below by replacing the default call to fail string element root name this get prop resource dom root element name resource transport resource this get resource string text this db service get content as domtext resource assert not null text returned from get content as text is null text assert true text did not contain the element named element root name text index of element root name 0 ,test of get content as method of class gov , test of get as content method of class gov
5,public string get js file return js file ,gets the js file attribute of the component object , returns the file name
6,public void set attributes map attrs nsrange range throw new runtime exception stub ,void set attributes nsdictionary attrs range nsrange range , void set values nsdictionary attributes for values nsstring values
7,protected control create control composite parent combo new combo parent swt drop down combo add selection listener new selection listener public void widget default selected selection event e handle widget selected e public void widget selected selection event e handle widget selected e combo add focus listener new focus listener public void focus gained focus event e do nothing public void focus lost focus event e refresh initialize width of combo combo set items get items tool item set width combo compute size swt default swt default true x refresh return combo ,creates and returns the combo for this contribution item , creates and returns the controls for the given attribute
8,public string get codigo ua return codigo ua ,gets the value of the codigo ua property , gets the value of the ejb property
9,public string get destination return string get destination ,get the destination of the task , gets the value of the web property
10,public string get description final node list children project get child nodes for int i 0 i children get length i final node child children item i if description equals child get node name return get text domnode child return null ,get the project description , obtain the description of the given entity object
11,public file value object get value string p key file value object vo file value object m values get p key if vo null vo new file value object set value p key vo return vo ,gets a value object by its key , returns the value of the specified attribute
12,public void set summary date date summary date this summary date summary date ,sets the summary date , sets the date date property value
13,public void set collection uri string collection uri this collection uri collection uri ,setter for property collection uri , set the collection of all elements
14,public void or cboolean block b int i max array length for int i 0 i i max i data i data i b data i ,boolean or with another cbooleanblock , this is a convenience method that returns the value corresponding
15,public string get query string query if widget get selection text length 0 query widget get selection text else query widget get text return query ,returns the query to be executed , returns the query query
16,private void please dont enable option int option id throws ioexception debug statement println dont option id telnet option option get option option id if option has been negotiated return if option is in negotiation negotiate option wont option id option disable ,client says please dont enable option x , check if a given entry is in the current database
17,public boolean is selected int index if index 0 index m size return false return m selection get index ,checks the specified index to determine if it is selected , returns code true code if the selected object is selected
18,public double get length return 1 ,returns the length of the curve in units of the related spatial reference , returns the length of the length
19,private salvage process get running salvage process salvage process result null int skill level get effective skill level iterator salvage process i workshop get salvage processes iterator while i has next result null salvage process process i next if process get info get skill level required skill level process get work time remaining 0 d result process return result ,gets an available running salvage process , gets the process process of the process
20,private void update active caret ieditor part editor if editor null editor instanceof abstract text editor editor get editor input instanceof file editor input caret editor redraw caret editor ,update the active editor when a user change is received , update the current state of the current editor
21,public string dcmi resource audience mediator formatted if dcmi resource audience mediator formatted string null dcmi resource audience mediator formatted string format dictionary dcmi resource audience mediator return dcmi resource audience mediator formatted string ,this is a convenience method that returns a formatted value corresponding , this is a convenience method that returns a formatted value corresponding
22,public void contribute to tool bar itool bar manager tool bar manager tool bar manager add get action action factory undo get id tool bar manager add get action action factory redo get id tool bar manager add new separator tool bar manager add get action constants zoom in tool bar manager add get action constants zoom out tool bar manager add new zoom combo contribution item get page ,add actions to the given toolbar , this method is called to implement the font
23,public combo condition add custom condition object condition return add custom conditions condition ,adds the given custom condition to the list of conditions , adds an update to the current set of clause
24,public object clone return new relevant objects learning command name relevant state variables relevant objects list relevancy relationship ,creates and returns a copy of this object , description of the method
25,public void set last bytes received long l if l 0 last bytes received l ,set the amount of last received bytes , sets the last timeout
26,protected void set up throws exception instance new closing location ,setup this test initialize the instance to test , setup this test initialize the instance to test
27,protected void count int written count long written ,increments the counter of already written bytes , returns the number of messages in the list
28,private void set actions change btn set action change back btn set action back ,assign abstract actions to ui componenets , sets the selection listener
29,public string get root element type return knowledge base ,get the root element type , returns the root value of the document
30,public boolean set request verified string id if request status contains key id request status set property id status verified store request status file return true else return false ,this method sets the status of the specifed certificate request as verified , set the session id
31,public string safe to string return hl formula safe to string ,returns a string representation without causing additional api calls , returns a string representation of this object
32,public void action performed form event event debug debug method begin debug debug method end ,the method will be called if a reset action event occurs , gets executed when the object that contains this action listener
33,public int get width return sfimage owner field get width ,gets the width attribute of the const sfimage object , returns the width of the width
34,public void insert value int index int f ,description of the method , description of the method
35,public void set content view controller uiview controller view controller boolean animated throw new runtime exception stub ,void set content view controller uiview controller view controller animated bool animated , void set view uiview view animated bool animated
36,private void check begin throws ioexception we only do this the first time we re requested to read from the stream if begin read return we might have to skip over lines to reach the marker if we hit the eof without finding the begin that s an error while true string line read line if line null throw new ioexception missing begin command is this our begin if line region matches true 0 begin 0 6 this is the droid we re looking for begin read true return ,verify that the first line of the buffer is a valid begin , checks the client for the given token
37,private string get parts string string builder buf new string builder parts map part integer parts malfunction get repair parts if parts size 0 iterator part i parts key set iterator while i has next part part i next int number parts get part buf append number append append part get name if i has next buf append else buf append none return buf to string ,gets the parts string , returns the string representation of the contents of the given string
38,public legend item collection get legend items if this fixed legend items null return this fixed legend items legend item collection result new legend item collection get the legend items for the datasets int count this datasets size for int dataset index 0 dataset index count dataset index category dataset dataset get dataset dataset index if dataset null category item renderer renderer get renderer dataset index if renderer null result add all renderer get legend items return result ,returns the legend items for the plot , this method initializes j menu item
39,private field init field element field el string name field el attribute value name string type field el attribute value type system out println initializing field name name type type field field null if type equals string field new string field else if type equals file field new file field has files true else if type equals field new field if field null field create name true field el element field el element constraints if null field el add element constraints field init constraints fields put name field return field ,init field of this form , this method initializes j text field
40,protected string get multi line comment end int which comment type return ,returns the regexp to describe the ending of a multiline comment , returns the regexp to describe the beginning of a multiline comment
41,protected boolean can apply workflow user user content item item if user null return false if has permission user cms edit item return true if workflow get object workflow id item null return false return has permission user cms new item item has permission user cms workflow admin ,p check if p , check if user is supported
42,public void assign card int register int card index if this registers register null throw new unsupported operation exception register already filled if this register locked register throw new unsupported operation exception register is locked for int i 0 i this hand length i if this hand i null this hand i get index card index this registers register this hand i this hand i null return fell out of loop card didn t match any in the hand throw new unsupported operation exception card not in hand ,assign a specific card to a register , this method initializes j player
43,public domain find domain for name string name filter filter new filter filter add from domain domain filter add select field domain filter add parameter condition domain description name filter add condition domain voided f iterator iter filter create query thread properties get session iterate domain domain null if iter has next domain domain iter next return domain ,find the domain with the passed name , returns a code domain object code for the current position in
44,public header column get column by nick name string nick return table header get column by nick name nick ,returns column number by column nickname , returns the key for the specified column name
45,public void gather data point data f gather data current location buffered range calculate buffered range if debug system out println loc formatted location buffered range buffered range 0 buffered range 1 ,gathers data from frame and calls calculate buffered range , this method is called by the stack
46,public boolean allows previous return true ,default implementation allows leaving to previous page , returns true if the current user is a valid
47,public integer shutdown throws runtime exception bpserver manager exception try return facade shutdown catch ejbexception e handle ejb exception e return null ,stops the business process server , starts the process of the process
48,public date get commitment date return date ,return the commitment date for this order , gets the date date of this classifieds
49,protected data table new data table string name final list attributes new array list attributes add new data attribute system key string class true attributes add new data attribute type key string class true attributes add new data attribute rb name key string class true attributes add new data attribute sp name key string class true attributes add new data attribute sp saved val key double class false attributes add new data attribute rb saved val key double class false attributes add new data attribute restore rbval key boolean class false return new data table name attributes score record class ,set up the data table structure , returns the table table
50,public void set allow8bitmime boolean allow8bitmime this allow8bitmime allow8bitmime ,sets whether encodings are converted to use 8bit under certain , sets the flag that controls whether or not the specified value
51,public string get full name if parent null return parent get full name separator name else return name ,returns the full name of the options including a separator , returns the name of the feature
52,protected void setup objectives objectives new array list orbit objective x objective new displacement objective orbit x plane objectives add x objective y objective new displacement objective orbit y plane objectives add y objective ,setup the objectives , set up the orbit values for the given range and
53,public void set stations map integer integer stops this station ids stops ,sets the stations which belongs to this route , sets the outline factor
54,public page get home page return get page easystruts page ,return home page , get the main page
55,public double get max solve time return max solve time ,get the maximum solving time , gets the value of the max time property
56,public void set advertisement advertisement advertisement this advertisement advertisement ,setter for property advertisement , set the application
57,public void push string stack name object value array stack object named stack stacks by name get stack name if named stack null named stack new array stack object stacks by name put stack name named stack named stack push value ,pushes the given object onto the stack with the given name , this method is called by the object
58,public string get name to return name to ,gets the value of the name to property , returns the name of the attribute
59,protected void write byte buffer data datagram channel sc datagram channel sk channel if sc is open if data has remaining try sc write data catch ioexception e close complete common end write data ,write out a byte buffer , write the byte data to the data stream
60,public void set focal length z double dbl fz m dbl foc z dbl fz ,set the focal length in the z direction , set the design length of the magnet
61,public int get num nodes return matrix length ,returns the number of nodes in the matrix unmodified , returns the number of child children
62,public void set default decision com platform metascheduler queuing dispatch decision default decision this default decision default decision ,sets the disp decision value for this sched decision , set the default default value
63,public boolean is nebula hint enabled return nebulas get flag hints ,get flag for displaying nebulae hints , returns true if the current state is enabled
64,public boolean is valid if is valid start return false if is valid stop return false if is valid base return false return true ,verify all the ip address parameters , returns true if the player is a valid
65,private void report financial cost block total tco object root throws throwable launcher view get instance add report report depreciation cost block create block depreciation model utility get tco package or root root model utility get depreciation duration plugin utility get class loader this ,depreciation report by cost block , this method is called by the same listener and it
66,private double get construction stage profit construction stage info stage info boolean check materials double result get construction stage value stage info get construction stage cost stage info if check materials has construction materials stage info result 0 d return result ,gets the profit for a construction stage , gets the mission mission
67,public void do catch throwable t throws throwable if conn null try conn rollback catch sqlexception e ignore to not hide exception throw t ,rollbacks the transaction and rethrows the throwable , this is a convenience method that is called whenever a
68,protected void add partial info class doc cd content content tree add pre qualified strong class link link info impl context tree cd content tree ,add information about the class kind if its a class or interface , add a new member to the list of summary
69,public void set object object object super set object object cxmanaged object managed object cxmanaged object object nsarray store urls managed object attached metadata store urls if store urls count 0 nsarray records managed object attached metadata from store url nsurl store urls object at index 0 object record records count 0 records object at index 0 null if record instanceof eoenterprise object set record eoenterprise object record ,sets the object attribute of the edit media page object , set the object for this object
70,public format set input format format format if format null format instanceof format matches supported rgb input format format system out println input format dimension size input format get size in width size width in height size height return format else return null ,set the data input format , returns the date date of the given grid
71,public void delete row object row if row instanceof download request model remove download request download request row else if row null string error wrong argument class row get class get name for row in delete row logger error error throw new runtime exception error else logger error row was null new null pointer exception ,delete the given download request from the underlying model , delete the row from the table
72,private jtext field get txt if txt null txt new jtext field txt set preferred size new dimension 100 20 return txt ,este m todo inicializa o txt , this method initializes text text field
73,private void send merge response address sender view view digest digest merge id merge id message msg new message sender null null msg set flag message oob gms gms header hdr new gms gms header gms gms header merge rsp hdr merge id merge id hdr view view hdr my digest digest msg put header gms get id hdr if log is debug enabled log debug gms local addr sending merge response hdr gms get down protocol down new event event msg msg ,send back a response containing view and digest to sender , send a message to the client
74,public void remove all validation values synchronized lock obj validation values v clear ,description of the method , removes a new instance of the current object
75,public component create component option option new option get parameter value get label return option ,create the label whose persistence is managed , creates the controls for the specified editor
76,public date get epoch return new date epoch ,returns the epoch , gets the value of the date time property
77,public color get color return grid line color ,returns the color of the grid lines , returns the color color
78,public void service changed final service event event final service reference ref event get service reference final int type event get type if type service event registered final shell command group group shell command group shell activator context get service ref command groups put group get group group return else if type service event unregistering final shell command group group shell command group shell activator context get service ref command groups remove group get group return ,service listener method , handle the event indicating that the channel has a new selected
79,public iterator children return new iterator int pos get header null 1 2 public boolean has next return pos get column model size 1 public object next pos 1 if pos 1 return get header else return get column pos public void remove throw new unsupported operation exception read only iterator ,returns an iterator over the header and all the columns , returns a random iterator
80,public jtext field get value text rb return value text rb ,returns the value text rb attribute of the scan2 d object , returns the text text attribute of the scan2 d object
81,public jmenu bar build menu bar window w if documents get w null documents put w new document action collection jmenu bar rval new jmenu bar menu entry entry root first child while entry null if entry instanceof node menu entry rval add build menu node menu entry entry w else if action menu entry entry action null localizer log warning menu ignoring separator on root level context else rval add spawn menu item action menu entry entry action w entry entry next sibling return rval ,builds the menu structure currently in this menu , creates a new instance of the given class
82,private double get min location return size 0 records get 0 get location double na n ,get the minimum location , gets the total size of the current location
83,private int get initial skill level int level int chance if random util less than rand percent chance return get initial skill level level 1 chance 2 else return level ,returns an initial skill level , gets the level of the building
84,public void cache url url url cache url url to string ,cache the url , this method is called when a url url is url
85,public void rewind m next 0 ,rewinds the queue by moving the queue marker to the beginning , moves the player to the next player
86,public void test web server get by id throws exception this web server config get web server this target this web server this def master add web server web server this web server def master get web server this web server get id if this web server null fail web server was not getted by its id ,test of getting of the web server by its id , test the id of the last transaction
87,public void test get persons system out println get persons person controller instance new person controller list person result instance get persons assert not null result assert true the result must return all the persons result size 0 ,test of get persons method of class org , test of get landien method of class mes jsf
88,public void set db sample db sample db sample this db sample db sample ,set db sample set the database sample object on this calibration , set the data data
89,public jdialog create simple probe editor particle probe probe my probe probe my probe particle probe new probe initialized from probe init fields populate forms populate particle forms particle probe my probe set window properties select particle tracker and make beam properties disabled probe chooser remove action listener probe chooser listener probe chooser set selected index 0 probe chooser add action listener probe chooser listener tabbed pane set enabled at 2 false tabbed pane set enabled at 4 false pe dialog pack pe dialog set visible true return pe dialog ,read in an existing particle probe for editing , create an instance of
90,protected void initialize stat level ability score constitution int base hp my level level my stat base hp my adj 0 my subdual 0 my temporary 0 my stat name hit points my stat abbrev hp my con constitution this only matters if the character is dying so we set it to false by default is stable false ,initializes the values for this code hit point code object , initialize the simulation
91,public boolean prior if record pos 0 return false get record pos 1 return true ,the prior iterator , is the last record in the database
92,private void initialize authoring kit page state state assert assert true m types is selected state big decimal type id new big decimal m types get selected key state to string content type type new content type type id authoring kit kit type get authoring kit kit is null if an authoring kit does not exist for this content type m authoring kit set state kit ,sets the m authoring kit request local variable , this method initializes this
93,private void fill combo box iterable bflogical unit structure logical unit dbwrapper get sub logical unit for bflogical unit structure logical unit logical unit if logical unit get owner typ dbwrapper get current game user get owner get owner type logical unit get owner null logical unit get owner dbwrapper get current game user get owner if is child logical unit logical unit cb logical unit add item logical unit ,fill combobox with logical unit that belong the owner and , fills the screen
94,public void draw pdfpage cgpdfpage page throw new runtime exception stub ,void cgcontext draw pdfpage cgcontext ref c cgpdfpage ref page , void cgcontext draw cgcontext ref c cgcontext ref c cgrect rect
95,public void ant stopped final ant node ant node final boolean errors show last line timer stop ,notification that ant has been stopped , notification that the specified logger has been started
96,protected string create dialog html string dialog string buffer result new string buffer 1024 create table result append create widget table start show error header once if there were validation errors result append create widget error header if dialog equals pages 0 result append dialog block start key messages gui label process selection result append create widget table start result append create dialog rows html 0 get widgets size 1 result append create widget table end result append dialog block end close table result append create widget table end return result to string ,creates the dialog html for all defined widgets of the named dialog page , creates the html window for the given editor
97,public string destination of symbolic link at path string path reference nserror error throw new runtime exception stub ,nsstring destination of symbolic link at path nsstring path error nserror error , cfstring ref path get path path ref path
98,public void start recap thread if recap thread null recap thread new recap thread this definition time translation time example time is reverse order is random order recap thread start ,starts recap thread , starts the thread
99,public double fixed pt iteration double x0 double dum double xr x0 for int i 1 i this maxit i double xr double f this func evaluate xr f double dx math abs xr if math abs dx this dxmin math abs f this accuracy return xr system out println fixed point iteration method exceeded this maxit iterations return 0 0 ,find the solution using fixed point iteration method , compute the mean of the mean
100,public int elevation return elevation ,returns elevation for hex , returns the current frame
