,Function,Original Comment,Predicted comment
0,public void set partnership partnership partnership this partnership partnership ,setter for property partnership , setter for property attribute
1,public object set value object obj object old value value obj return old ,sets the value , returns the value of the key
2,public void set pair reproduction seed int pair reproduction seed this pair reproduction seed pair reproduction seed ,setter for property pair reproduction seed , setter for property pair pair
3,public void add relevant privilege string privilege name oid priv oid new oid com arsdigita kernel permissions privilege privilege name data object priv do session manager get session retrieve priv oid add relevant privileges priv do ,p add an entry to the list of relevant privileges for this , adds an option to the list
4,public void add action listener action listener al action listener awtevent multicaster add action listener al ,add an action listener , adds a listener to the list of listeners
5,public boolean is data pre sorted return data pre sorted ,returns whether the data is pre sorted according to the , returns true if the given object is a
6,public void println string to print if show debug force print do write to print null ,prints a debugging message and new line to the screen if debugging is , prints a text to the screen
7,public charset mapper get charset mapper create a mapper the first time it is requested if this charset mapper null try class clazz class for name charset mapper class this charset mapper charset mapper clazz new instance catch throwable t exception utils handle throwable t this charset mapper new charset mapper return this charset mapper ,return the locale to character set mapper for this context , returns the content of the file
8,public void set internal path java lang string value if value null value length 0 this internal path null else this internal path value ,sets the value of the internal path property , sets the value of the default info property
9,public void add session session sessions put session get id internal session int size sessions size if size max active synchronized max active update lock if size max active max active size ,add this session to the set of active sessions for this manager , add a session to the session
10,private ifile get workspace file ifile store file store iworkspace root workspace root resources plugin get workspace get root ifile files workspace root find files for location uriutil to path file store to uri if files null files length 1 return files 0 return null ,checks whether there given file store points , returns the file writer
11,public string get description return users ,get a description for this entity type , get the description of this entity
12,private void print banner out println terminal out println c 2007 copie ,print the banner when the console is started , print print the given usage
13,public boolean intersects rect mkmap rect rect2 throw new runtime exception stub ,bool mkmap rect intersects rect mkmap rect rect1 mkmap rect rect2 , bool rect for rect mkmap rect mkmap rect rect1 mkmap rect rect2
14,private void create awt container grid data grid data2 new grid data grid data2 grab excess horizontal space true grid data2 horizontal alignment grid data fill grid data2 vertical alignment grid data fill grid data2 grab excess vertical space true awt container new composite tree composite swt no background swt embedded awt container set layout new grid layout awt container set layout data grid data2 ,this method initializes awt container , create the controls for the given table
15,private boolean validate target state if f target instanceof ifind replace target extension2 ifind replace target extension2 extension ifind replace target extension2 f target if extension validate target state status error editor messages find replace dialog read only update button state return false return is editable ,validates the state of the find replace target , checks whether the given marker is valid
16,public void exit int exit code try process agent exit exit code catch remote exception e throw new error e try process exited acquire catch interrupted exception e throw new error e ,terminates the process with the given exit code , handle handle handle of the server
17,public icomment provider get comment provider return comment provider ,returns the comment provider , getter for property survival object
18,public measure start time slice get parent measure start return measure start time slice get parent node ,return the parent measure time slice , start the time in seconds
19,private void available item action performed java awt event action event evt gen first event available item action performed gen headerend event available item action performed if msg service get my availability messaging service availability available contact status label set text available msg service set my availability messaging service availability available contact status icon set icon get availability icon messaging service availability available gen last event available item action performed ,p called when the available status is selected from the , p called when the user selects the status is clicked
20,private string order int x if x 1 return 1st else if x 2 return else if x 3 return else return x th ,construct a string represent of an int in terms of ordering , sets row and column index
21,protected void add is exception property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui parameter is exception feature non nls 1 get string ui property descriptor description ui parameter is exception feature ui parameter type non nls 1 non nls 2 non nls 3 umlpackage literals parameter is exception true false false item property descriptor boolean value image null null ,this adds a property descriptor for the is exception feature , this adds a property descriptor for the is remove feature
