,Function,Original Comment,Predicted comment
0,public package open packages from streams list pkg contents boolean is file stream throws exception package pkg null for int i 0 i pkg contents size i byte pkg cont byte pkg contents get i package p open package from stream pkg cont is file stream if i 0 pkg p return pkg ,opens all the packages represented by their streams and returns first of them , this method initializes j panel
1,public big decimal get tsia return tsia ,gets the t sia , gets the value of the port property
2,public void create field editors field editor chart globally editor new boolean field editor preference keys chart globally enable c creation for instructions get field editor parent add field chart globally editor add field new radio group field editor preference keys chart symbol provider chart symbol set 1 new string te text symbol advisor class get name s s symbols advisor class get name font symbol advisor class get name get field editor parent ,creates the field editors , creates the given page
3,public void set source file source file list get java files source ,sets the source files to be instrumented with contract , sets the file path
4,private void update line count int added if line break integer max value output count added ,update the counter of characters on the current working line , updates the cursor
5,public void clear items clear if table null remove table selected index 1 ,clears the list , clears the map
6,public boolean next one org omg cos naming binding holder b if iterator has next return this as a binding value bound object obj bound object iterator next b value new binding new name component obj name obj type return true else return an empty element b value new binding new name component 0 binding type return false ,return the next object in the iteration sequence , checks if this map contains all of the current runtime
7,private void send to client string queue name avg value iq boolean is for general row if is for general row agent detail item item agent rows get queue name if item null item set in queue iq else if agent row null agent row set in queue iq ,send info to client , send an lxml message to the client
8,private string cwh double w double h double w h scratch switch media rot case 0 portrait w h break case 90 landscape h w break case 180 inverse portrait w h break case 270 seascape h w break return ,converts the java space dimension into pdf , converts the java space into a pdf
9,private boolean read file header input stream bis throws ioexception try int b bis read if b b return false b bis read if b z return false return true catch ioexception io bis close return false ,reads the file header from the compressed file and returns true , reads the given header
10,public int get cards count return players cards size ,gets the cards count , gets the number of total number of available that have started
11,public void test array to string alternative seperator boolean array new boolean boolean false boolean true boolean true boolean false string to string array utils array to string array assert equals to string false true true false to string ,simple code to string code test with alternative seperator , test of set of the simple business process
12,private string get attrib list instances data int order string builder out new string builder int max sel this num selected 1 math min this num selected order length order length for int i 0 i max sel i if this ignored idxs contains order i out append order i if i order length 1 out append out append lf for int i 0 i max sel i if this ignored idxs add order i out append order i append append data attribute order i name append lf return out to string ,this returns the attribute list based on the given order as output by , gets the current item from which the given index
13,public void set sent date date sent throws messaging exception set or remove header date date format format sent ,set the message sent date , set the date from the table
14,public int get type throws messaging exception checking the validity will update the type information if it succeeds check folder validity return folder type ,return whether this folder can hold just messages or also , get the value of the message as a string
15,public sas mech type create sas mech type return new sas mech type ,create an instance of , create an instance of
16,protected int add int value1 int value2 return value1 value2 ,returns sum of two numbers , returns the greater of two numbers
17,public void remove resource link string name entries remove name context resource link resource link null synchronized resource links resource link resource links remove name if resource link null support fire property change resource link resource link null resource link set naming resources null ,remove any resource link with the specified name , remove any resource reference with the specified name
18,public void set discovery listener discovery listener listener this listener listener ,sets the discovery listener , sets the listener listener
19,public int get count of table string par table throws wdbmgr exception if this my sqlmanager null this my sqlmanager new sqlmanager this db config file return this my sqlmanager get count of table par table ,return number of entries inside the specific database table br , return the number of entries entries in the table table br
20,public double get min x return minx ,gets the bounding boxs minimum x value , returns the minimum x value
21,public void set blog id int blog id this blog id blog id ,sets the blog id of this blogcomments to the specified value , sets the blog id collection of this blog to the specified value
22,public void set get alumno by idresult alumno be value this get alumno by idresult value ,sets the value of the get alumno by idresult property , sets the value of the get by nombre result property
23,public object get first participant for location int x int y x scale y scale fix consistency with other methods cell view cells get ordered all selectable cells if cells null rectangle r new rectangle x y 2 2 iterate through cells and find first participant at if current is cache first cell for int i 0 i cells length i if cells i instanceof graph participant view interface boolean intersects cells i get bounds intersects r if intersects return cells i get cell return null ,finds the participant at specified location , gets the object at the given position
24,private void clear button action performed get console scroll pane set text return ,is called when the clear button has been activated , method that can be called from another applet or from javascript that
25,public e pop e obj stack stack pointer stack stack pointer null to make sure we won t gc return obj ,removes top element from the stack returns is as a result , this method is used to from the stack
26,public void set ranking integer value this ranking value ,sets the value of the ranking property , sets the value of the javabean property
27,public void set return string return this return return ,set the code return code attribute , set the code to be used for the
28,protected void add reply value property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui reply action reply value feature non nls 1 get string ui property descriptor description ui reply action reply value feature ui reply action type non nls 1 non nls 2 non nls 3 umlpackage literals reply action reply value true false true null null new string org eclipse ui views properties expert non nls 1 ,this adds a property descriptor for the reply value feature , this adds a property descriptor for the value feature
